Sprache,Wiktionary,Wiki-Kürzel,Wikipedialink,DIN,ISO 639-1,ISO 639-2,ISO 639-3,Index
Abchasisch,- Аҧсуа - †,ab,de:Abchasische Sprache,ab,ab,abk,abk,
Afar,- Afar - †,aa,en:Afar language,aa,aa,aar,aar,
Afrikaans,Afrikaans (13.224),af,de:Afrikaans,af,af,afr,afr,Index
Akan,- Akana - †,ak,de:Akan (Sprachen),,ak,aka,aka,
Albanisch,Shqip (5892),sq,de:Albanische Sprache,sq,sq,alb/sqi,sqi,Index
Altenglisch (Angelsächsisch),Englisc (2154),ang,de:Altenglische Sprache,,,ang,ang,Index
Altgriechisch,(Ἑλληνικὴ γλῶττα),grc,de:Altgriechische Sprache,,,grc,grc,Index
Althochdeutsch,(thiudisk),goh,de:Althochdeutsch,,,goh,goh,Index
Altnordisch,(Norrön),non,de:Altnordische Sprache,,,non,non,Index
Altslawisch (Kirchenslawisch),(словеньскъ),,de:Altkirchenslawisch,cu,cu,chu,chu,
Amharisch,አማርኛ (273),am,de:Amharische Sprache,am,am,amh,amh,
Arabisch,العربية ‎(20.753),ar,de:Arabische Sprache,ar,ar,ara,ara,Index
Aragonesisch,Aragonés (557),an,de:Aragonesische Sprache,,an,arg,arg,Index
Aramäisch,ܐܪܡܝܐ,arc,de:Aramäische Sprache,,,arc,arc,
Armenisch,Հայերեն (6590),hy,de:Armenische Sprache,hy,hy,arm/hye,hye,Index
Aromunisch,Armãneashce (35),roa-rup,de:Aromunische Sprache,,,(roa),rup,
Arpitanisch,(Arpitan),frp,de:Franko-Provenzalische Sprache,,,(roa),frp,
Aserbaidschanisch,Azərbaycan (1621),az,de:Aserbaidschanische Sprache,az,az,aze,aze,Index
Assamesisch,- অসমীয়া - †,as,de:Assami,as,as,asm,asm,
Asturisch,Asturianu (4225),ast,de:Asturische Sprache,,,ast,ast,
Atayal,,,en:Atayal language,,,(map),tay,
Avestisch,,,de:Avestisch,ae,ae,ave,ave,
Awarisch,- Авар - †,av,de:Awarische Sprache (Kaukasus),,av,ava,ava,
Aymara (Aimara),Aymar (36),ay,de:Aymara (Sprache),ay,ay,aym,aym,Index
Balinesisch,(Basa Bali),ban,de:Balinesische Sprache,,,ban,ban,Index
Belutschi,(Balúči / بلوچی),bal,de:Belutschische Sprache,,,bal,bal,
Bambara,- Bamanankan - †,bm,de:Bambara,bm,bm,bam,bam,
Banyumasan,(Basa Banyumasan),map-bms,"en:Banyumasan language, de:Javanisch",,(jv),(map),(jav),
Baule,(Baoulé),bci,de:Baul
Baschkirisch,Башҡорт (5),ba,de:Baschkirische Sprache,,ba,bak,bak,
Baskisch,Euskara (216),eu,de:Baskische Sprache,eu,eu,baq/eus,eus,Index
Bengalisch,বাংলা (66),bn,de:Bengali,bn,bn,ben,ben,
Berbersprachen,n.n.,ber,de:Berbersprachen,,,ber,-,
Bihari,- भोजपुरी - †,bh,de:Bihari,bh,bh,bih,bih,
Birmanisch (Burmesisch),Myanmasa (265),my,de:Birmanische Sprache,my,my,mya,mya,
Bislama,- Bislama - †,bi,de:Bislama,bi,bi,bis,bis,
Bosnisch,Bosanski (311),bs,de:Bosnische Sprache,,bs,bos,bos,Index
Bretonisch,Brezhoneg (11.426),br,de:Bretonische Sprache,br,br,bre,bre,Index
Buginesisch,(ᨅᨔ ᨕᨘᨁᨗ),bug,en:Buginese language,,,bug,bug,
Bulgarisch,Български (25.511),bg,de:Bulgarische Sprache,bg,bg,bul,bul,Index
Caló,,,"en:Caló, de:Kalé",,,(roa),rmr,
Cebuano,(Cebuano),ceb,de:Cebuano,,,ceb,ceb,
Chakassisch,(Xakasça),kjh,de:Chakassische Sprache,,,(tut),kjh,Index
Chamorro,- Chamoru - †,ch,de:Chamorro,,ch,cha,cha,
Cherokee,ᏣᎳᎩ (286),chr,"de:Cherokee-Alphabet, en:Cherokee language",,,chr,chr,
Cheyenne,(Tsetsêhestâhese),chy,"en:Cheyenne language, de:Cheyenne (Volk)",,,chy,chy,
Chichewa,(Chi-Chewa),ny,de:Chichewa,,ny,nya,nya,
Chinesisch,中文 (292.601),zh,de:Chinesische Sprache,zh,zh,zho,zho,Index
Choctaw,(Choctaw),cho,"en:Choctaw language, de:Choctaw (Volk)",,,cho,cho,
Cree,- Nehiyaw / ᓀᐦᐃᔭᐤ - †,cr,de:Cree (Sprache),,cr,cre,cre,
Dänisch,Dansk (5652),da,de:Dänische Sprache,da,da,dan,,Index
Dari,(درى),,de:Dari,dr,fa-AF,(per/fas),gbzprd,
Dendi,,,ddn (Benin): de:Songhai-Sprachen,dn,,(son),ddndeq,
Deutsch,Deutsch (1.044.421),de,de:Deutsche Sprache,de,de,ger/deu,deu,Index
Dhivehi (Maledivisch),ދިވެހިބަސް ‎(68),dv,de:Dhivehi,di,dv,div,div,
Dogon,,dog (in fr:),de:Dogon (Sprache),,,,(10!),
Dzongkha,- ཇོང་ཁ - †,dz,de:Dzongkha,dz,dz,dzo,dzo,
Ekspreso,(Ekspreso),eso,eo:Ekspreso (planlingvo) (nach ISO 639-3 steht eso für die estnische Gebärdensprache),,,(art),-,
Elsässisch (Alemannisch),Elsässerditsch (Alemannisch) †,als,"de:Elsässerdeutsch, de:Alemannische Dialekte (nach ISO 639-3 steht als für Tosk-Albanisch)",,de-Fde-CH,gsw?,gswswgwaegct,Index
Englisch,English (2.037.550),en,de:Englische Sprache,en,en,eng,eng,Index
