#,Language,Language (local),Wiki,Entries,Total pages,Edits,Admins,Users,Active users,Images
1,English,English,en,"7,036,855","8,115,884","66,536,595",106,"3,928,700","1,885",24
2,French,français,fr,"4,375,993","4,709,659","30,390,691",36,"325,892",439,6
3,Malagasy,Malagasy,mg,"1,741,686","1,799,738","29,175,853",2,"9,952",12,3
4,Chinese,中文,zh,"1,221,825","1,808,090","7,202,875",8,"103,623",83,19
5,Russian,русский,ru,"1,181,836","2,460,318","12,279,833",14,"277,373",290,146
6,German,Deutsch,de,"1,044,389","1,214,320","9,170,409",16,"212,214",190,100
7,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,"911,600","916,452","1,469,591",2,"7,059",6,3
8,Spanish,español,es,"911,265","966,186","5,051,446",8,"139,630",113,14
9,Swedish,svenska,sv,"834,571","875,640","3,673,601",14,"51,334",59,1
10,Dutch,Nederlands,nl,"807,817","1,089,022","4,514,137",10,"50,800",65,7
11,Greek,Ελληνικά,el,"802,986","848,460","5,558,172",9,"50,699",84,52
12,Polish,polski,pl,"758,917","794,281","7,912,734",15,"91,481",116,45
13,Kurdish,kurdî,ku,"738,046","763,840","5,081,141",7,"9,974",32,15
14,Lithuanian,lietuvių,lt,"618,778","691,482","1,806,267",5,"10,643",15,18
15,Italian,italiano,it,"556,348","592,824","3,850,383",5,"86,825",66,31
16,Catalan,català,ca,"545,717","559,759","2,021,134",5,"19,674",30,4
17,Finnish,suomi,fi,"418,315","489,181","4,330,693",9,"29,710",62,16
18,Tamil,தமிழ்,ta,"403,149","415,373","1,969,053",7,"19,248",47,243
19,Hungarian,magyar,hu,"369,835","467,875","2,872,496",4,"27,174",23,0
20,Turkish,Türkçe,tr,"349,056","451,489","3,865,785",5,"54,389",67,1
21,Ido,Ido,io,"308,373","339,212","2,826,596",2,"7,684",12,4
22,Armenian,հայերեն,hy,"303,053","315,645","1,773,028",2,"11,104",21,16
23,Korean,한국어,ko,"297,776","421,884","4,050,295",1,"26,857",32,17
24,Japanese,日本語,ja,"293,109","336,349","1,664,884",5,"89,034",69,36
25,Portuguese,português,pt,"270,429","392,667","2,672,922",5,"86,318",62,0
26,Kannada,ಕನ್ನಡ,kn,"264,273","267,899","665,628",2,"6,252",12,0
27,Vietnamese,Tiếng Việt,vi,"240,206","255,030","2,051,147",10,"49,480",44,5
28,Serbian,српски / srpski,sr,"222,288","247,708","663,550",6,"13,036",13,0
29,Thai,ไทย,th,"213,471","296,883","1,558,267",4,"13,409",24,0
30,Hindi,हिन्दी,hi,"183,537","205,478","474,154",1,"14,280",23,6
31,Romanian,română,ro,"162,124","192,260","978,994",3,"19,992",19,12
32,Norwegian (Bokmål),norsk,no,"155,127","168,319","1,164,087",5,"15,751",20,10
33,Estonian,eesti,et,"147,910","161,316","1,138,144",4,"9,812",23,2
34,Indonesian,Bahasa Indonesia,id,"143,780","222,473","982,960",5,"32,329",41,3
35,Czech,čeština,cs,"137,798","194,044","1,212,639",4,"43,024",92,1
36,Malayalam,മലയാളം,ml,"130,991","138,641","547,637",5,"8,368",9,4
37,Burmese,မြန်မာဘာသာ,my,"124,123","127,458","876,356",2,"7,985",13,0
38,Uzbek,oʻzbekcha/ўзбекча,uz,"116,974","154,713","601,749",2,"5,997",19,0
39,Limburgish,Limburgs,li,"116,374","123,414","704,354",3,"4,347",8,13
40,Oriya,ଓଡ଼ିଆ,or,"108,623","110,553","193,502",2,"2,534",6,1
41,Telugu,తెలుగు,te,"106,424","122,371","965,783",3,"5,412",7,931
42,Esperanto,Esperanto,eo,"106,377","129,365","1,067,870",1,"8,258",18,21
43,Persian,فارسی,fa,"103,751","181,086","844,071",3,"34,062",50,3
44,Galician,galego,gl,"71,331","86,541","700,153",2,"6,192",11,74
45,Arabic,العربية,ar,"67,046","121,791","954,198",4,"32,202",20,1
46,Saraiki,سرائیکی,skr,"63,422","67,447","113,273",2,420,5,0
47,Occitan,occitan,oc,"62,576","78,283","363,727",2,"4,425",14,2
48,Javanese,Jawa,jv,"60,890","72,502","111,635",2,"3,546",9,1
49,Azerbaijani,azərbaycanca,az,"55,914","64,982","365,178",2,"8,898",17,1
50,Basque,euskara,eu,"54,587","63,219","408,815",2,"5,506",7,3
51,Ukranian,українська,uk,"52,174","70,545","533,654",4,"23,712",35,11
52,Breton,brezhoneg,br,"47,045","56,705","327,684",1,"4,506",11,39
53,Asturian,asturianu,ast,"43,218","50,710","284,121",1,"4,417",11,1
54,Danish,dansk,da,"38,992","50,956","298,831",3,"11,614",11,0
55,Lao,ລາວ,lo,"37,774","62,896","460,257",1,"3,475",10,2
56,Icelandic,íslenska,is,"37,170","42,698","293,984",4,"7,502",10,4
57,Simple English,Simple English,simple,"36,445","43,975","490,226",3,"40,095",38,2
58,Bengali,বাংলা,bn,"34,945","46,629","125,981",3,"8,245",30,4
59,Latin,Latina,la,"33,764","46,403","218,822",1,"12,788",12,68
60,Croatian,hrvatski,hr,"32,864","40,864","267,123",2,"8,883",10,5
61,Fijian,Na Vosa Vakaviti,fj,"31,353","32,188","178,032",1,"4,242",6,0
62,Tajik,тоҷикӣ,tg,"30,635","36,538","118,746",1,"2,856",5,0
63,Slovak,slovenčina,sk,"29,543","32,197","161,146",4,"6,067",10,2
64,Kyrgyz,кыргызча,ky,"28,992","76,176","190,011",1,"3,728",7,0
65,Walloon,walon,wa,"28,685","44,723","371,984",4,"3,642",12,126
66,Bulgarian,български,bg,"28,371","865,011","1,129,610",4,"18,734",18,22
67,Urdu,اردو,ur,"26,598","33,454","110,845",2,"4,530",11,2
68,Sango,Sängö,sg,"26,484","30,118","63,158",2,"2,317",5,1
69,Shan,ၽႃႇသႃႇတႆး,shn,"25,891","28,436","71,062",2,444,7,0
70,Pashto,پښتو,ps,"25,576","28,680","81,797",1,"2,426",4,2
71,Welsh,Cymraeg,cy,"24,771","27,960","162,209",1,"6,479",5,7
72,Volapük,Volapük,vo,"23,430","25,853","203,872",1,"2,839",4,1
73,Slovenian,slovenščina,sl,"23,189","33,516","169,629",2,"6,594",8,0
74,Oromo,Oromoo,om,"22,983","23,956","39,593",1,"2,595",5,0
75,Hebrew,עברית,he,"22,963","45,702","435,724",7,"36,476",66,284
